entity,pre,damaged,processing,functional,operational,end
n02,-1,0,0,0,0,110
n03,-1,0,0,5,12,110
n04,-1,0,60,63,63,110
n05,-1,0,0,0,63,110
n07,-1,0,13,19,19,110
n08,-1,0,0,0,19,110
n09,-1,0,0,0,94,110
n10,-1,0,0,0,94,110
n11,-1,0,0,0,94,110
n12,-1,0,0,0,19,110
n13,-1,0,80,91,91,110
n14,-1,0,0,0,19,110
n15,-1,0,0,0,83,110
n16,-1,0,83,85,85,110
n17,-1,0,0,0,85,110
n18,-1,0,0,0,34,110
n19,-1,0,20,34,34,110
n20,-1,0,25,35,35,110
n21,-1,0,35,48,48,110
n22,-1,0,48,52,52,110
n23,-1,0,0,0,52,110
n24,-1,0,0,0,13,110
n25,-1,0,0,0,85,110
n26,-1,0,34,41,41,110
n27,-1,0,0,0,52,110
n28,-1,0,0,0,13,110
n29,-1,0,0,0,27,110
n31,-1,0,25,38,38,110
n32,-1,0,0,0,97,110
n33,-1,0,38,42,42,110
n34,-1,0,41,55,55,110
n36,-1,0,5,13,13,110
n37,-1,0,70,80,80,110
n38,-1,0,0,0,80,110
n39,-1,0,13,25,25,110
"('n01', 'n02')",-1,0,0,0,0,110
"('n02', 'n03')",-1,0,0,12,12,110
"('n03', 'n04')",-1,0,0,0,63,110
"('n03', 'n07')",-1,0,0,0,19,110
"('n04', 'n05')",-1,0,0,0,63,110
"('n05', 'n06')",-1,0,52,70,70,110
"('n07', 'n08')",-1,0,13,15,19,110
"('n07', 'n12')",-1,0,0,0,19,110
"('n08', 'n09')",-1,0,91,94,94,110
"('n08', 'n14')",-1,0,13,14,19,110
"('n09', 'n10')",-1,0,91,97,97,110
"('n10', 'n11')",-1,0,91,94,94,110
"('n11', 'n23')",-1,0,91,94,94,110
"('n12', 'n13')",-1,0,70,73,91,110
"('n13', 'n15')",-1,0,94,100,100,110
"('n14', 'n19')",-1,0,0,0,34,110
"('n15', 'n16')",-1,0,0,0,85,110
"('n15', 'n24')",-1,0,80,83,83,110
"('n16', 'n17')",-1,0,0,0,85,110
"('n17', 'n18')",-1,0,94,100,100,110
"('n17', 'n25')",-1,0,0,0,85,110
"('n18', 'n19')",-1,0,0,0,34,110
"('n19', 'n20')",-1,0,0,0,35,110
"('n20', 'n21')",-1,0,0,0,48,110
"('n21', 'n22')",-1,0,0,0,52,110
"('n21', 'n26')",-1,0,34,43,48,110
"('n22', 'n23')",-1,0,0,0,52,110
"('n23', 'n27')",-1,0,48,51,52,110
"('n24', 'n28')",-1,0,0,0,13,110
"('n25', 'n29')",-1,0,94,97,97,110
"('n26', 'n31')",-1,0,0,0,41,110
"('n27', 'n34')",-1,0,48,51,55,110
"('n28', 'n29')",-1,0,25,27,27,110
"('n29', 'n31')",-1,0,25,31,38,110
"('n31', 'n32')",-1,0,94,97,97,110
"('n32', 'n33')",-1,0,97,100,100,110
"('n33', 'n34')",-1,0,38,40,55,110
"('n35', 'n36')",-1,0,0,0,13,110
"('n36', 'n37')",-1,0,0,0,80,110
"('n36', 'n28')",-1,0,0,0,13,110
"('n37', 'n38')",-1,0,0,0,80,110
"('n38', 'n39')",-1,0,97,103,103,110
"('n39', 'n40')",-1,0,10,25,25,110
"('n39', 'n33')",-1,0,38,40,42,110
