time,all_damaged,all_processing,all_functional,all_operational,node_damaged,node_processing,node_functional,node_operational
-10,0,0,79,79,0,0,35,35
-0.0001,0,0,79,79,0,0,35,35
0,38,2,39,2,15,1,19,1
1,38,2,39,2,15,1,19,1
2,38,2,39,2,15,1,19,1
3,38,2,39,2,15,1,19,1
4,38,2,39,2,15,1,19,1
5,37,2,40,2,14,1,20,1
6,37,2,40,2,14,1,20,1
7,37,2,40,2,14,1,20,1
8,37,2,40,2,14,1,20,1
9,37,2,40,2,14,1,20,1
10,36,3,40,2,14,1,20,1
11,36,3,40,2,14,1,20,1
12,36,2,41,4,14,1,20,2
13,32,5,42,10,12,2,21,5
14,32,4,43,10,12,2,21,5
15,32,3,44,10,12,2,21,5
16,32,3,44,10,12,2,21,5
17,32,3,44,10,12,2,21,5
18,32,3,44,10,12,2,21,5
19,32,2,45,18,12,1,22,9
20,31,3,45,18,11,2,22,9
21,31,3,45,18,11,2,22,9
22,31,3,45,18,11,2,22,9
23,31,3,45,18,11,2,22,9
24,31,3,45,18,11,2,22,9
25,27,5,47,20,9,3,23,10
26,27,5,47,20,9,3,23,10
27,27,4,48,22,9,3,23,11
28,27,4,48,22,9,3,23,11
29,27,4,48,22,9,3,23,11
30,27,4,48,22,9,3,23,11
31,27,3,49,22,9,3,23,11
32,27,3,49,22,9,3,23,11
33,27,3,49,22,9,3,23,11
34,25,4,50,26,8,3,24,13
35,24,4,51,28,7,3,25,14
36,24,4,51,28,7,3,25,14
37,24,4,51,28,7,3,25,14
38,21,6,52,30,6,3,26,15
39,21,6,52,30,6,3,26,15
40,21,4,54,30,6,3,26,15
41,20,4,55,32,5,3,27,16
42,20,3,56,34,5,2,28,17
43,20,2,57,34,5,2,28,17
44,20,2,57,34,5,2,28,17
45,20,2,57,34,5,2,28,17
46,20,2,57,34,5,2,28,17
47,20,2,57,34,5,2,28,17
48,17,4,58,37,4,2,29,18
49,17,4,58,37,4,2,29,18
50,17,4,58,37,4,2,29,18
51,17,2,60,37,4,2,29,18
52,16,2,61,43,4,1,30,21
53,16,2,61,43,4,1,30,21
54,16,2,61,43,4,1,30,21
55,16,1,62,46,4,0,31,22
56,16,1,62,46,4,0,31,22
57,16,1,62,46,4,0,31,22
58,16,1,62,46,4,0,31,22
59,16,1,62,46,4,0,31,22
60,15,2,62,46,3,1,31,22
61,15,2,62,46,3,1,31,22
62,15,2,62,46,3,1,31,22
63,15,1,63,50,3,0,32,24
64,15,1,63,50,3,0,32,24
65,15,1,63,50,3,0,32,24
66,15,1,63,50,3,0,32,24
67,15,1,63,50,3,0,32,24
68,15,1,63,50,3,0,32,24
69,15,1,63,50,3,0,32,24
70,13,2,64,51,2,1,32,24
71,13,2,64,51,2,1,32,24
72,13,2,64,51,2,1,32,24
73,13,1,65,51,2,1,32,24
74,13,1,65,51,2,1,32,24
75,13,1,65,51,2,1,32,24
76,13,1,65,51,2,1,32,24
77,13,1,65,51,2,1,32,24
78,13,1,65,51,2,1,32,24
79,13,1,65,51,2,1,32,24
80,11,2,66,55,1,1,33,26
81,11,2,66,55,1,1,33,26
82,11,2,66,55,1,1,33,26
83,10,2,67,57,0,2,33,27
84,10,2,67,57,0,2,33,27
85,10,1,68,63,0,1,34,30
86,10,1,68,63,0,1,34,30
87,10,1,68,63,0,1,34,30
88,10,1,68,63,0,1,34,30
89,10,1,68,63,0,1,34,30
90,10,1,68,63,0,1,34,30
91,6,4,69,65,0,0,35,31
92,6,4,69,65,0,0,35,31
93,6,4,69,65,0,0,35,31
94,2,5,72,71,0,0,35,34
95,2,5,72,71,0,0,35,34
96,2,5,72,71,0,0,35,34
97,0,4,75,75,0,0,35,35
98,0,4,75,75,0,0,35,35
99,0,4,75,75,0,0,35,35
100,0,1,78,78,0,0,35,35
101,0,1,78,78,0,0,35,35
102,0,1,78,78,0,0,35,35
103,0,0,79,79,0,0,35,35
104,0,0,79,79,0,0,35,35
105,0,0,79,79,0,0,35,35
106,0,0,79,79,0,0,35,35
107,0,0,79,79,0,0,35,35
108,0,0,79,79,0,0,35,35
109,0,0,79,79,0,0,35,35
110,0,0,79,79,0,0,35,35
